,Lawyer_name,years_of_experience,no_of_cases,no_of_success_cases,fees_per_hearing,case_text
230,57,19,179,126,29352,the majority also referred to the judgment of gibbs cj in actors and announcers equity association v fontana films pty ltd 1982 hca 23 1982 150 clr 169 fontana films the majority said at 163 gibbs cj pointed out fontana films 1982 hca 23 1982 150 clr 169 at 181 1982 hca 23 40 alr 609 at 615 that like the aliens power s 51 xix the corporations power is conferred by reference to persons he continued 1982 hca 23 1982 150 clr 169 at 1812 1982 hca 23 40 alr 609 at 616 however having regard to the federal nature of the constitution it is difficult to suppose that the powers conferred by pars xix and xx were intended to extend to the enactment of a complete code of laws on all subjects applicable to the persons named in those paragraphs in the case of the corporations described in s 51 xx extraordinary consequences would result if the parliament had power to make any kind of law on any subject affecting such corporations other difficulties in relation to s 51 xx are caused by the need to construe the constitution as a whole and thus to reconcile par xx with other parts of s 51 although gibbs cj concluded 1982 hca 23 1982 150 clr 169 at 182 1982 hca 23 40 alr 609 at 616 that it was both unnecessary and undesirable to attempt to define the outer limits of s 51xx he did say 1982 hca 23 1982 150 clr 169 at 182 1982 hca 23 40 alr 609 at 616 that the words of par xx suggest that the nature of the corporation to which the laws relate must be significant as an element in the nature or character of the laws if they are to be valid in other words in the case of trading and financial corporations laws which relate to their trading and financial activities will be within the power as to foreign corporations he added 1982 hca 23 1982 150 clr 169 at 183 1982 hca 23 40 alr 609 at 61617 that the fact that the corporation is a foreign corporation should be significant in the way in which the law relates to it 16 the majority noted in 165 the statements made by gibbs cj about laws relating to the trading and financial activities of trading and financial corporations being within power are to be understood as responding to the arguments advanced in that case they are not to be read as attempting an exhaustive statement of the ambit of the power gibbs cj explicitly denied 1982 hca 23 1982 150 clr 169 at 182 1982 hca 23 40 alr 609 at 616 any intention of doing that that said it must be recognised that gibbs cj emphasised the importance of giving due weight to the words foreign trading and financial in considering the application of s 51xx 25 the majority said at 55 the challenge to the validity of the legislation enacted in reliance on the corporations power does not put in issue directly the characteristics of corporations covered by s 51xx it does not call directly for an examination of what is a trading or financial corporation formed within the limits of the commonwealth plainly a foreign corporation is a corporation formed outside the limits of the commonwealth no party or intervener called in question what was said about trading and financial corporations in r v federal court of australia ex parte wa national football league 1979 hca 6 1979 143 clr 190 23 alr 439 actors and announcers equity association v fontana films pty ltd 1982 hca 23 1982 150 clr 169 40 alr 609 state superannuation board v trade practices commission 1982 1982 hca 72 150 clr 282 44 alr 1 or fencott v muller 1983 hca 12 1983 152 clr 570 46 alr 41
14931,37,38,184,62,45694,as is well known the corporations act followed the decisions of the high court in re wakim ex parte mcnally 1999 hca 27 1999 198 clr 511 and bond v r 2000 hca 13 2000 169 alr 607 and r v hughes 2000 hca 22 2000 171 alr 155 the states referred power to the commonwealth so as to enable it to enact the corporations act under s 51xxxvii of the constitution the corporations act then largely reenacted the previous corporations law as a single commonwealth law obviously there are some differences but none relevant to the present issue as the terms of ss 588g and 588m were not materially altered when carried forward into the corporations act it is not surprising that there are no observations in the parliamentary materials surrounding the enactment of the corporations act which enlighten the legislative intention in relation to those sections or indeed of div 4 of pt 57b of the corporations act in which they stand
501,74,28,267,199,9652,the counterclaim setoff or cross demand referred to in s 401g and 417 must be something sounding in money re brinks ex parte commercial banking co of sydney ltd 1980 fca 78 1980 30 alr 433 44 flr 135 at 138 per lockhart j see also re jocumsen 1929 1 abc 82 at 85 per henchman j
15779,19,1,88,32,31737,these grounds cannot succeed the facts of this case are quite close to the facts of three unanimous decisions of full courts of this court the members of each court were different the decisions are nast v minister for immigration and multicultural and indigenous affairs 2004 fcafc 208 beaumont merkel and hely jj navx v minister for immigration and multicultural and indigenous affairs 2004 fcafc 287 french emmett and dowsett jj and minister for immigration and multicultural and indigenous affairs v vsaf of 2003 2005 fcafc 73 black cj sundberg and bennett jj in each case the court emphasised the proposition that the task of the minister through his delegate and the refugee review tribunal on appeal pursuant to s 65 of the migration act 1958 cth is to consider whether they are satisfied that the requirements for the grant of a visa have been satisfied it will be difficult to achieve the requisite degree of satisfaction if the appellant does not provide sufficient information such as by not attending a hearing in the absence of a positive finding of satisfaction a visa application must be rejected in navx at paragraph 5 the full court said this in assessing the adequacy of the tribunals reasons it must be kept in mind that the tribunal had indicated to the appellant that it was unable to find in his favour on the basis of the material in its possession and invited him to attend to provide additional information clearly enough the tribunal was not obliged to accept at face value his short and very vague outline of his basis for fearing persecution in china having found that the outline was not sufficient to satisfy it that the appellant had a wellfounded fear of persecution it could do little more than offer him an opportunity to elaborate when he failed to accept that opportunity the inevitable consequence was the rejection of his application 5 in the federal magistrates court the appellants gave evidence that they did not open the post box where the invitation was sent until after the hearing date emmett fm did not accept that the letter was late in arriving however the authorities are clear that the reason for nonattendance at a hearing does not matter if the tribunal has complied with ss 425 and 425a of the migration act in inviting an applicant to attend a hearing it may proceed under s 426a of the act to consider and decide the matter without conducting any further inquiries see nadk of 2002 v minister for immigration and multicultural and indigenous affairs 2002 fcafc 184 nalq v minister for immigration and multicultural and indigenous affairs 2004 fcafc 121 vnaa v minister for immigration and multicultural and indigenous affairs 2004 136 fcr 407 2004 fcafc 134 nasf v minister for immigration and multicultural and indigenous affairs 2004 fcafc 162 minister for immigration and multicultural and indigenous affairs v vsaf of 2003 and others 2005 fcafc 73 minister for immigration and multicultural affairs and indigenous affairs and another v szfhc 2006 150 fcr 439 2006 fcafc 73 szdpb v minister for immigration and multicultural affairs and indigenous affairs 2006 fcafc 110 and minister for immigration and multicultural affairs v szfde 2006 fcafc 142 in several of these cases the invitation was allegedly never received by the applicant see vnaa v mimia mimia v szfhc and szdpb v mimia 
16497,4,20,468,149,23095,the starting point is the option itself there is no doubt that an option to purchase gives the optionee an equitable interest in the property in fact the respondents concede that it is a prior equitable interest and that the answer to the first question is yes there are many authorities on the point it is sufficient for me to refer to the following london and south western railway co v gomm 1882 20 ch d 562 at 580581 per jessel mr carter v hyde 1923 hca 36 1923 33 clr 115 commissioner of taxes qld v camphin 1937 hca 30 1937 57 clr 127 at 132134 per latham cj although gibbs j as he then was in laybutt v amoco australia pty ltd 1974 132 clr 59 laybutt at 7576 identified the fact that an option to purchase gave rise to an equitable interest as a strong reason for characterising such an option as a conditional contract rather than as an irrevocable offer that standing controversy as sir owen dixon referred to it in braham v walker 1961 hca 7 1961 104 clr 366 at 376 has not been resolved and it is not necessary for me to take one view or the other for the purposes of answering the separate questions it is to be noted that gibbs j in laybutt favoured the view that an option to purchase was a conditional contract to sell land which created a contingent equitable interest in the land
13617,3,19,88,70,26990,in relation to the case that the tribunals obligation to consider the appellant husbands claim was not limited to what he put forward in his application counsel for the appellants referred his honour to nabe v minister for immigration and multicultural and indigenous affairs 2004 fcafc 263 2004 144 fcr 1 black cj french and selway jj at 5563 however lloydjones fm distinguished nabe 2004 fcafc 263 144 fcr 1 observing that the present case does not fall into that category f or this argument to succeed the tribunal would have to be satisfied that the actions of the gang was sic motivated by political opinion and were not criminally based in his honours view the tribunal did not find that the unidentified gang members involved in the assault had political motivation nor that their activities were not entirely criminal in nature his honour was satisfied that the tribunal dealt with the material correctly 14 on the basis of those findings which i have sought to summarise the federal magistrate dismissed the appellants application for curial review of the tribunals decision i have difficulty with the proposition that the appellant husbands fear of persecution could not have arisen in the evidentiary context he postulated notwithstanding the confinement of his political exposure to that of a media advisor to a politician but seemingly that measure of concern on my part is not strictly necessary or essential to my decisionmaking 15 on 25 may 2006 the appellants filed a notice of appeal to the federal court which framed three grounds of asserted error on the part of the federal magistrate the same being supported by particulars during the hearing of the appeal to this court on 9 november 2006 the appellants sought to rely on an amended notice of appeal that comprehensively amended notice of appeal contained the following grounds and particulars thereto 1 his honour committed an error of law in dismissing the appeal from a decision of the second respondent in circumstances where the second respondent failed to comply with section 4301c of the migration act 1958 thereby committing jurisdictional error by not having regard to probative material particulars a the tribunal found there is no credible evidence to support the applicants claim that either the assault on him in 1997 or the assault and theft in 1999 or the alleged assault in march 2004 was politically rather than criminally motivated b the second respondent had regard to the departments file which includes the protection visa application and other material including that supplied by the applicant c the applicant supplied various media reports including a newspaper article in the island entitled stage director assaulted by gang in which it was reported that the appellant had been mercilessly assaulted by an armed gang alleged to be supporters of an organiser of the peoples alliance who allegedly said to the appellant what was done to laxshr sic would be done to you d in making a finding that there is no credible evidence to support the allegation of politically motivated attack on the appellant the tribunal either failed to have regard to such information andor if it did it did not give reasons why that particular piece of critical corroborative evidence was not credible cf section 4301c of the act 2 his honour further erred in upholding the second respondents decision in circumstances where the second respondent constructively failed to exercise jurisdiction and act judicially when making a critical finding as to the nature of persecution faced by the appellant particulars a the appellant repeats particulars to ground 1 b by its failure to take into account relevant material corroborating the appellants claim of a politically motivated attack on him in 1999 the second respondent constructively failed to consider the appellants claim c the second respondent also failed to act judicially by interpreting the proper test of what amounts to persecution too narrowly by limiting its assessment of the nature of the 1999 assault on the appellant by reference to the appellants political opinion as opposed to whether the attack on the appellant was politically motivated 3 his honour further erred in upholding the second respondents decision in circumstances where the second respondent failed to consider an integer of the appellants claim particulars a at the hearing before the tribunal the appellant said that the real death threats took place after the former foreign minister changed political parties the applicant said that he was seen on television on 1 may 2004 and from that moment he received real threats b the tribunal then reminded the appellant that the only matter raised by him in the complaints he had lodged with the police related to the threats arising from the 1999 videotaping incident and that his claimed fear of persecution arising from his political opinion was difficult to accept c however in his statutory declaration dated 27 january 2005 sent to the tribunal after the hearing the appellant referred to his evidence at the hearing and reiterated that the alleged death threat he received was not a criminal act because i received threats since i changed my parties and political opinion d in the preceding circumstances it was incumbent on the tribunal to consider the claim that arose from the evidence whether or not explicitly pleaded e it appears the tribunal considered the claim as articulated in the police complaints report in relation to the 1999 videotaping incident f the tribunal therefore constructively failed to consider an integer of the appellants claim 16 in the context of the grounds the subject of that amended notice of appeal counsel for the minister submitted that the minister does not consent to the appellant lodging an amended notice of appeal but accepts that the prejudice the minister has suffered could be remedied by a costs order the minister therefore requested that leave to amend be subject to an order that the appellants pay the ministers costs thrown away counsel for the minister further submitted that s 430 of the migration act 1958 cth the act was now being relied upon in substitution for the s 424a ground contained in the original notice of appeal and that being so all im asking foris that having put in their submission late we did the reasonable thing to make our submission to be prepared on time they changed the case and we should get costs thrown away that submission is correct in principle but whether or not any significant amount of legal costs were in effect thrown away may well be in reality debateable and would be a matter for the courts assessment officer who undertakes the taxation process in the somewhat complex circumstances of this case the submission would not be a necessary given 17 counsel for the minister emphasised further complaint in particular in relation to the third ground the subject of the amended notice of appeal which the minister contended to be a new ground and submitted that leave should be refused as it was not run below and was a weak ground however both parties addressed the court on the merits or lack of merit thereof in any event the view i have reached is not anchored to that third ground 18 in relation to the first ground of appeal the appellants submitted that the tribunal did not pay realistic regard to the relevant newspaper article in that the tribunal failed to give reasons why it did not find material contained in that article to be of probative value to the appellants claim the newspaper article which appeared in the sri lankan newspaper the island is reproduced in part below stage director assault by gang a prominent stage play producer and directorhad been mercilessly assaulted by an armed gang alleged to be supporters of an organiser of the peoples alliance at galle road close to waldya road junction in dehiwela at about 1155 pm when the play director was engaged in pasting posters with two of his assistants of the stage play prana appakaruwa speaking to the island he said that the gang had with them firearms the persons who assaulted me shouted out loudly saying what was done to laxshr would be done to you dehiwela police sources in this connection said investigations were being pursued to take suspects into custody
12189,72,38,423,341,26875,in these circumstances her proposed appeal has no reasonable prospects of success indeed it is bound to fail the court should in the exercise of its discretion dismiss the purported appeal under s 31a of the fca act see jefferson ford pty ltd v ford motor company of australia ltd 2008 fcafc 60 2008 167 fcr 372 at 406409 per gordon j i certify that the preceding sixteen 16 numbered paragraphs are a true copy of the reasons for judgment herein of the honourable justice tracey associate dated 22 october 2008 the appellant was self represented counsel for the respondent mr j pizer solicitor for the respondent clayton utz date of hearing 22 october 2008 date of judgment 22 october 2008 austlii copyright policy disclaimers privacy policy feedback url 
8144,87,30,39,3,32320,so for example in queensland wire 1989 hca 6 167 clr 177 deane j held that the identification of the proscribed purpose in that case led directly to the conclusion that bhp was taking advantage of its market power because the nature of the purpose was such that in the circumstances of that case it could not have been achieved by the conduct impugned had it not been for the existence of the market power queensland wire 167 clr at 197198 melway 205 clr at 17 the majority in melway at 18 also noted comments of scalia j in the supreme court of the united states when his honour said where a defendant maintains substantial market power his activities are examined through a special lens behavior that might otherwise not be of concern to the antitrust laws or that might even be viewed as procompetitive can take on exclusionary connotations when practiced by a monopolist eastman kodak co v image technical services inc 1992 504 us 451 at 488
21410,46,33,348,68,26343,the applicants challenge this decision on grounds of statutory administrative review and pursuant to s 39b of the judiciary act as to the a d j r act ground 1a relies upon error of law s 51f ground 2 an improper exercise of power s 51e ground 3 an abuse of power s 52j and ground 4 jurisdictional error s 51c as to the principles at common law upon which the court will exercise supervisory review of administrative decisions of the executive administrative tribunals or officers of the commonwealth for the purposes of exercising a jurisdiction under s 39b of the judiciary act see anisminic ltd v foreign compensation commission 1969 2 ac at 171 per lord reid approved in craig v south australia 1995 hca 58 1995 184 clr 163 at 179 australian broadcasting tribunal v bond 1990 hca 33 1990 170 clr 321 at 366 and 367 per deane j and plaintiff s1572002 v commonwealth 2003 hca 2 2003 211 clr 476 at 489 25 the applicants contend for three decisions susceptible of review
2229,90,28,85,7,33778,in the present case counsel for the accc recognised that the judgment in apco service stations was binding on me they made the formal submission that the full court was in error when it required that there be some commitment before there could be an understanding for the purposes of s 452a of the trade practices act the reality is that the previous authorities dealing with the content of an understanding as distinct from its formation provide ample support for what the full court said in apco service stations more than ample support is also found in the analysis of the relevant provisions which i have already set out in 24 34 as i have said for the purposes of s 452a there can be no such thing as an understanding that leaves each party to it free to do whatever it wishes whatever word may be chosen to represent the essential element of an understanding for the purposes of the relevant statutory provisions it is clear that element involves the assumption of an obligation unenforceable in any court of law but merely morally binding or binding in honour any reservation that may have existed about this has been dispelled by the high court which dismissed the acccs application for special leave to appeal from the full court in apco service stations on 2 june 2006 see accc v apco service stations pty ltd amp anor 2006 hcatrans 272 at line 619 giving the judgment of himself and hayne j gleeson cj said the decision of the full court of the federal court turned not upon any controversial view of the meaning of the relevant provisions of the trade practices act but upon the full courts view of the facts in the light of the case as pleaded and argued by the commission in the light of the facts as found the case does not raise any issue of law suitable to a grant of special leave to appeal the application is dismissed with costs 38 for all of these reasons quite apart from its binding effect on me the correctness of the full courts judgment in apco service stations cannot be doubted
21142,67,20,452,146,11199,it is of course only communications which were brought into existence in furtherance of the illegal or improper purpose which are removed from the shield of privilege re moage ltd in liq sheahan v pitterino 1998 82 fcr 10 at 1920 those which are for the purpose of advice about for example the enforceability of security instruments would be protected even if those concerning the creation of those instruments were not 37 there are a number of documents where mr nicol says their description and the supporting evidence of mr lee does not support the claim of privilege or where the description indicates the documents are not privileged senior counsel for mr nicol submitted that mr lees affidavits did not generally go any distance to supporting the claim for legal professional privilege his affidavit of 10 march 2006 does not say that he has examined the documents in pt1 and pt2 but i infer from its contents that he has done so he addresses sequentially the documents in issue or most of them and expands a little upon their description in the list of documents it asserts a purpose for many of the documents i do not place much weight on that evidence as the affidavit does not indicate that he has made any inquiries beyond himself examining the documents he has not deposed to any knowledge of the circumstances of the work carried out by tp or to any other matters which might enhance the weight to be given to his assertions his affidavit of 27 march 2006 concerning the documents in pt4 is structured the same way although it expressly states he has inspected the documents and that he sets out the basis for our clients claim for privilege in effect his affidavits do little more than provide a description of most of the documents in issue and make an assertion or submission as to why each should be privileged 38 i have looked at the documents in pt1 and pt4 to ensure i understand as much as possible of mr lees evidence
8510,78,37,295,229,45648,by way of illustration i would note that a duty of care has been assumed or found to exist i in the conduct of a high speed police motor vehicle pursuit of a suspected criminal schilling v lenton 1988 47 sasr 88 see also marshall v osmond 1983 1 qb 1034 57 am jur 2d above ss439 ii where a superior officer failed to go to the assistance of another officer whom he knew was being attacked close by and for whom he had a responsibility costello v chief constable of the northumbria police above mullaney v chief constable of west midlands police 2001 ewca civ 700 iii in positively provoking or acting in disregard of a real and substantial risk of harm to a person zalewski v turcarolo above or property rigby v chief constable of northamptonshire 1985 1 wlr 1242 iv in providing for the safety and wellbeing of persons in police custody hall v whatmore 1961 vr 225 howard v jarvis 1958 hca 19 1958 98 clr 177 reeves v commissioner of police of the metropolis 1999 ukhl 35 2000 1 ac 360 v in relation to preserving the confidentiality of information provided by an informant identifying a criminal suspect the disclosure of which was likely to expose the informant and her husband to a greater risk of harm at the hands of the suspect than the ordinary risk to the general public swinney v chief constable of the northumbria police vi in canada to protect a woman who was unaware she was knowingly being used by police as bait to catch a serial rapist in circumstances in which the police deliberately failed to warn of the risk she faced for fear of compromising their investigation though knowing that the rapist would attack again and cause irreparable harm to his victim doe v metropolitan toronto municipality commissioners of police 1998 160 dlr 4 th 697 and vii in a united states jurisdiction in delaying in responding to calls made by assault victims the assurance that help was on its way having been given to them chamberscastanes v king county 669 p2d 451 1983 and see zitter liability for failure of police response to emergency call 39 alr 4 th 691 98 what is noticeable in the case law of common law countries illustrated above including that of england is that it is accepted both that positive dangerous behaviour by police can still attract a duty of care and that particularly in cases of omissions to act the police may nonetheless have or have assumed such a particular responsibility to take care of a person as to give rise to a special relationship with that person which attracts a duty of care to him or her see eg brooks v commissioner of police at 22 and 29 costello v chief constable of the northumbria police esp per may lj in us jurisdictions the special relationship exception is well recognised in a range of otherwise negligence exempt areas of police activity see eg eaton above at ss4 see also 57 am jur 2d above at ss410 ff what equally is notable is the varying significance given to the particular operational context in which the relationship giving rise to a duty of care is said to exist hence the ready imposition of a duty of care to persons in police custody hall v whatmore above and the corresponding reluctance to impose such a duty in the context of the conduct of a criminal investigation dorta ekenaike v victoria legal aid at 101102 see also cran v state of new south wales above or in preventing a breach of the peace thompson v vincent above
12431,86,12,458,283,20926,the appellant was born in india but is a citizen of south africa he arrived in australia on 8 september 2007 and on 19 october 2007 he lodged an application for a protection class xa visa with the department of immigration and citizenship the application was refused by a delegate of the minister the delegates decision to refuse the protection visa was affirmed by the refugee review tribunal the tribunal an application for review of the decision of the tribunal was dismissed by scarlett fm szmez v minister for immigration 2008 fmca 1097 2 the appellant appeals from the decision of scarlett fm 3 the appellant applied for an adjournment of this appeal for some months he notified the first respondents legal representatives of the application for adjournment on the morning of the hearing of the appeal the application for adjournment was opposed
19111,23,23,211,42,9886,the tribunal found that the appellant engaged in the conduct for the purpose of strengthening his claim to be a refugee as such s 91r3 of the act applies and the tribunal was entitled having made such findings of fact to determine that the conduct was not bona fide the factual findings of the tribunal thus operate to exclude the hypothesis proposed by the appellant further s 91r3 of the act creates a reversal of onus of proof which the appellant did not discharge see nast v minister for immigration and multicultural and indigenous affairs 2002 fca 1536 at 26 which was approved in sbcc v minister for immigration and multicultural affairs 2006 fcafc 129 at 39 
4550,1,9,269,7,41674,commission sought an order that skins provide a letter on its letterhead to each of its current retailers agents andor distributors the terms and size of the letter were to be in accordance with a document annexed to the draft consent orders the letter advises the addressee of the results of this proceeding including the pecuniary penalties imposed and of the fact that skins may only recommend a retail price and is not allowed to specify to retailers a minimum price below which goods or services are not to be resold or advertised for sale skins consented to such an order i considered that it was appropriate to make such an order see s 86c2 australian competition and consumer commission v hobie cat australasia pty ltd 2008 atpr 42225 the commission proposed that skins pay to the commonwealth of australia a pecuniary penalty of 120000 and that mr warhurst pay to the commonwealth of australia a pecuniary penalty of 14000
12051,14,31,220,155,48333,in hammer waste pty ltd v qbe mutual ltd 2002 nswsc 1006 palmer j referred to that decision and said in s 211 the word know is used in its ordinary sense it implies actual not constructive knowledge both on the part of the insured and on the part of any agent or employee of the insured whose knowledge is to be imputed to the insured the obligation to disclose something known can attach only to something which at the time for disclosure a person actually has in his or her consciousness or else something which exists in some record or other source of information which the person actually knows about and to which the person has access so for example i know my driving licence number for the purposes of s 211 even though i cannot recite it off hand because i actually know that it is to be found in the plastic card in my wallet 736 i return to the three matters which may have required disclosure i am satisfied that a reasonable person in the circumstances could be expected to know that each of those matters would be relevant to qbes decision i have indicated with respect to the third of those matters divergence between contents of the newsletters and actual practice that i am not satisfied that there was any significant divergence however for reasons which appear below it is not necessary finally to decide that question 737 qbe asserts that mr ryan was familiar with the content of the investment summary and knew that mr blackadder did not carry out detailed checks of the asset positions of applicants for loans as allegedly asserted in the newsletters or credit checks against guarantors as asserted in the winter 1999 newsletter it is said to follow that he had knowledge which should have been disclosed in my view unless asked mr ryan had no duty to disclose either the content of the newsletters or the actual practice which was adopted at least for present purposes neither matter by itself exposed either mdrn or qbe to risk the relevant matter was the alleged divergence between the two as i have said i do not necessarily accept that there was a significant divergence it is at least arguable that the practice as described by mr blackadder and mr ryan was a form of checking in the sense in which the term was used in the newsletters potential investors may have understood the newsletters to imply something more but for present purposes we are looking at the subjective states of mind of mr blackadder and mr ryan
17536,93,3,402,204,42776,principles governing the grant or refusal of interlocutory injunctions in both private and public law litigation are well known they have been summarised by mason acj in castlemaine tooheys ltd v south australia 1986 hca 58 1986 161 clr 148 at 153 as follows in order to secure such an injunction the plaintiff must show 1 that there is a serious question to be tried or that the plaintiff has made out a prima facie case in the sense that if the evidence remains as it is there is a probability that at the trial of the action the plaintiff will be held entitled to relief 2 that he will suffer irreparable injury for which damages will not be an adequate compensation unless an injunction is granted and 3 that the balance of convenience favours the granting of an injunction an applicant seeking an interlocutory injunction must be able to show sufficient colour of right to the final relief in aid of which the interlocutory injunction is sought australian broadcasting corporation v lenah game meats pty limited 2001 hca 63 at 11 2001 hca 63 208 clr 199 at 217 per gleeson cj kirby j there further observed that no narrow view has been adopted as to the meaning of the expression a serious question to be tried 2001 hca 63 at 167 208 clr at 270
19619,86,15,489,3,40638,that is not to say that discovery is unavailable in judicial review whether discovery is ordered in a particular case depends upon the nature of the case and the stage of the proceedings at which the discovery is sought wa pines pty ltd v bannerman 1980 fca 79 1980 30 alr 559 at 567 the fact that an applicant can obtain a statement of reasons under s 13 of the adjr act is not determinative of whether discovery should be ordered there are numerous instances of judicial review proceedings in which discovery has been ordered in this court or where the jurisdiction to do so has been accepted wa pines pty ltd v bannerman commissioner of taxation v nestle australia ltd 1986 fca 368 1986 12 fcr 257 tnt australia pty ltd v fels 1992 atpr 41190 per gummow j and australian securities commission v somerville 1994 51 fcr 38 and canwest global communications corp v australian broadcasting authority hill j 16 june 1997 unreported see also re federal commissioner of taxation ex parte swiss aluminium australia ltd 1987 72 alr 247 46 to grant leave to interrogate in the circumstances presented here would be to encourage not merely fishing but fullscale trawling it is wellestablished in relation to discovery that a party who can demonstrate nothing to support an allegation will not be granted access to the documents of the opposing party in the hope of discovering some such support see for example wa pines pty ltd v bannerman this principle applies with equal force to those seeking relief under the adjr act minister for immigration and multicultural and indigenous affairs v wong at 2932 it is not open to a party merely to allege that a decision was made without any proper basis and then seek to use the compulsory process of the court to attempt to find out if that allegation has any foundation before discovery can be ordered there must be some evidence that can support an arguable case for review proof of which is likely to be aided by requiring production of relevant documents
3366,51,1,229,84,46242,observations made by allsop j as his honour then was in szeeu v minister for immigration and multicultural and indigenous affairs 2006 fcafc 2 2006 150 fcr 214 at 262 para 216 also serve as a reminder of the need in relation to the application of s 424a in particular cases to read the reasons of the tribunal as a whole in order to understand whether particular information truly provided the reason for the tribunals decision 11 when one reads the reasons for decision of the refugee review tribunal one sees the following paragraphs which in the circumstances of the present case are material at appeal book page 90 as put to the applicant in the course of the hearing generally speaking members of the hindu community in india are not illtreated in consideration of the evidence as a whole the tribunal does not accept that the applicant has a political ethnicracial or a religious profile that means he has suffered any persecution as contemplated by the convention or that theres a real chance of this occurring to the applicant in the reasonably foreseeable future the tribunal appreciates that there are religious based tensions in india however on balance independent country information indicates that whilst there are problems in some areas the indian constitution provides for freedom of religion and that the government generally respected this right in practice etcetera 12 further at appeal book page 91 the tribunal stated in essence the tribunal is not satisfied that there are convention reasons as to why the applicant should not return to india in consideration of the evidence as a whole the tribunal does not accept that the applicant has a political ethnicracial or a religious profile that means that there is a real chance of persecution as contemplated by the convention occurring to the applicant in the reasonably foreseeable future notably and by his own admission the applicant wants to stay in australia to work raising serious doubts about his claims of persecution in sum the tribunal is not satisfied that the applicant has a wellfounded fear of persecution for a convention reason 13 the tribunals reasons are very detailed indeed reading them as a whole one sees that influences on the conclusions reached in the passages which i have quoted were an assessment by the tribunal of the male appellants credibility having regard to evidence which he gave before the tribunal and independent country information 14 the authorities to which i have made reference make it plain that the country information does not constitute information for the purposes of s 424a and further that the tribunals views in relation to credibility do not constitute information those views do not seem to have been informed by reference to anything provided in the initial visa application thus the question as to whether the exclusion found in s 424a3 as it stood prior to the insertion of s 424a3ba is not raised for consideration
17984,44,17,47,32,6263,as the proceeding was commenced in the new south wales registry sydney is presently the proper place in relation to the proceeding see the definition of that expression in o 1 r 4 and unless an order is made to the contrary the place of trial will be sydney o 30 r 61 however it is not necessary for the proceeding to be transferred to the cairns registry to enable the trial or any part of it to be heard in cairns the court may direct that the trial or any part of the trial be held at a place other than the proper place o 30 r 62 in andrew amp frewin pty ltd v arrow limited 1990 fca 247 the full court observed that o 30 r 6 authorised the court to take evidence in various cities so as to accommodate the needs of witnesses notwithstanding that a different city was the proper place
5226,9,26,188,111,10222,in my view counsel for the respondents contention cannot be accepted it is clear that the contractual intention was to provide the applicant with a termination payment of a minimum of six months regardless of whether the relationship between the parties ended by the non renewal of the term of the consultancy agreement on the expiry of the existing term or by the termination of the agreement other than for a reason set out in cl 81 during the currency of the term of the consultancy agreement this construction is consistent with the presence in the clause of the words or the term as extended or renewed is not renewed the construction contended for by the respondent is inconsistent with the presence of those words in the clause and renders those words otiose in my view it is obvious that there was a mistake by the draftsman in using the word lesser when the word greater should have been used to give effect to the obvious intention of the parties where there is an obvious mistake the court can give effect to the true contractual intention of the parties without there being any need for rectification the principle was expressed thus by santow j in the case of spunwill pty ltd v bab pty ltd 1994 36 nswlr 290 at 299 where a court can discern the intent of the parties from an examination of the document as a whole words may be supplied omitted or corrected in the instrument where it is clearly necessary in order to avoid absurdity or inconsistency fitzgerald v masters 1956 hca 53 1956 95 clr 420 at 426427 in such cases rectification of the document is not required re united pacific transport pty ltd 1968 qd r 517 codelfa construction pty ltd v state rail authority of new south wales at 346
866,13,35,384,117,5144,of course there cannot be a general rule that a legal representative of the employer or the former employer of the examinee should be permitted to attend to protect the employers privilege there may well be circumstances where to do so would jeopardise the investigation see eg gangemi v australian securities and investments commission 2003 fca 494 2003 129 fcr 284 at 35 38 see also rochfort at 145 mason j stating that request for the production of privileged information should generally be directed to the employer but the protection of the employers interests in the information must give way to the public interest in the efficient administration of justice in case of collision between the two but in the absence of such a circumstance the voluntary grant by asic of a limited right to be present in the manner outlined by counsel for awb might have forestalled the issues raised in these proceedings
